ID,NumOfActiveDays
1624580081,31
1644430081,30
2022484408,31
2347167796,18
3977333714,30
4319703577,31
4388161847,31
4702921684,30
5577150313,28
6775888955,17
6962181067,31
7007744171,24
7086361926,30
8253242879,18
8583815059,30
8792009665,19
1844505072,20
1927972279,17
2026352035,31
2320127002,31
2873212765,31
3372868164,20
4020332650,17
4057192912,3
4445114986,31
4558609924,31
5553957443,31
6117666160,23
6290855005,24
8053475328,31
8378563200,31
8877689391,31
1503960366,30
